,id,day,title,content
0,98426,2022-01-01,2022 我们的打开方式,>    送走了意义非凡的2021，我们斗志昂扬地迎来了2022。您将如何开启新的一年呢？新年海采《2022 我们的打开方式》，一起去听听大家怎么说。        
1,98427,2022-01-01,“元旦京港澳天宫对话”活动今天举行,>    新年第一天，北京、香港、澳门的青年学子跨越时空欢聚一堂，与航天员和航天科技工作者进行了一场仰望星空的“天宫对话”。        此次活动设置有北京主会场和香港、澳门两个分会场，以“梦想”“奋斗”为关键词。北京、香港和澳门共500多名青年学子与航天专家和神舟十三号航天员乘组展开实时连线交流。        天地对话环节，三名航天员结合自身飞天感受，回答同学们的提问，并进行了“青春与星空对话”天宫画展，20余幅中西部地区青少年创作的太空主题绘画作品亮相中国“天宫”。        
2,98424,2022-01-01,《区域全面经济伙伴关系协定》今天生效实施,>    今天（1月1日），《区域全面经济伙伴关系协定》（RCEP）生效实施，全球最大自由贸易区正式启航。        今天起，文莱、柬埔寨、老挝、新加坡、泰国、越南等6个东盟成员国和中国、日本、新西兰、澳大利亚等4个非东盟成员国正式开始实施RCEP协定。商务部表示，中方将全面和充分履行RCEP义务，高质量实施协定。        协定生效当天，中国与东盟、澳大利亚、新西兰之间的立即零关税比例超过65％。中国与日本是新建立自贸关系，相互立即零关税比例分别达到25%和57%。        今天，全国各口岸陆续迎来协定项下的进出境货物。全国首票RCEP协定项下的进口货物在深圳皇岗口岸顺利通关；在广西南宁，满载25个集装箱的国际货运班列发往了RCEP成员国。海关总署统计，截至下午3时，海关共签发原产地证书281份。        不只是降关税，RCEP还在原产地规则、海关程序、检验检疫等方面形成统一规则，在服务贸易、投资等方面也作出高水平开放承诺。RCEP如期生效，将为全球贸易投资增长、经济复苏和繁荣发展作出重要贡献。        
3,98418,2022-01-01,《求是》杂志发表习近平总书记重要讲话《以史为鉴、开创未来 埋头苦干、勇毅前行》,>    2022年1月1日出版的今年第1期《求是》杂志发表中共中央总书记、国家主席、中央军委主席习近平在党的十九届六中全会第二次全体会议上的重要讲话《以史为鉴、开创未来，埋头苦干、勇毅前行》。        讲话强调，在我们党成立一百年之际，党中央决定召开一次全会，全面总结党的百年奋斗重大成就和历史经验，是郑重的战略性决策，体现了我们党重视和善于运用历史规律的高度政治自觉，体现了我们党牢记初心使命、继往开来的自信担当。这次全会《决议》同党作出的前两个历史决议一样，必将对推动全党统一思想、统一意志、统一行动，团结带领全国各族人民以史为鉴、开创未来，埋头苦干、勇毅前行，在新时代更好坚持和发展中国特色社会主义、实现中华民族伟大复兴产生重大而深远的影响。        讲话指出，要以学习全会精神为重点巩固党史学习教育成果，深刻认识总结党的百年奋斗重大成就和历史经验的重大意义，深刻认识党的百年奋斗的初心使命，深刻认识中国特色社会主义进入新时代的历史性成就和历史性变革，深刻认识党的百年奋斗历史经验，深刻认识以史为鉴、开创未来的重要要求。        讲话指出，要坚定历史自信，自觉坚守理想信念。这次全会《决议》充分显示了我们党高度的历史自信，向党内外、国内外展示了一个百年大党的清醒和成熟。历史雄辩地说明，没有中国共产党就没有新中国，就没有中国人民的幸福生活，就没有中华民族的伟大复兴。历史和人民选择了中国共产党，中国共产党也没有辜负历史和人民的选择。中国共产党人的历史自信，既是对奋斗成就的自信，也是对奋斗精神的自信。        讲话指出，要坚持党的政治建设，始终保持党的团结统一。历史和现实都证明，党的团结统一是党和人民前途和命运所系，是全国各族人民根本利益所在，任何时候任何情况下都不能含糊、不能动摇。这次全会《决议》特别强调了加强党的集中统一领导的重要性，就是要求全党坚定不移向党中央看齐，在党的旗帜下团结成“一块坚硬的钢铁”，步调一致向前进。保持党的团结统一，要求全党必须做到对党忠诚。        讲话指出，要坚定担当责任，不断增强进行伟大斗争的意志和本领。我们党依靠斗争创造历史，更要依靠斗争赢得未来。我们面临的各种斗争不是短期的而是长期的，将伴随实现第二个百年奋斗目标全过程。我们必须把握新的伟大斗争的历史特点，发扬斗争精神，把握斗争方向，把握斗争主动权，坚定斗争意志，掌握斗争规律，增强斗争本领，有效应对重大挑战、抵御重大风险、克服重大阻力、解决重大矛盾，战胜前进道路上的一切艰难险阻，不断夺取新时代伟大斗争的新胜利。        讲话指出，要坚持自我革命，确保党不变质、不变色、不变味。我们党历史这么长、规模这么大、执政这么久，如何跳出治乱兴衰的历史周期率？毛泽东同志在延安的窑洞里给出了第一个答案，这就是“只有让人民来监督政府，政府才不敢松懈”。经过百年奋斗特别是党的十八大以来新的实践，我们党又给出了第二个答案，这就是自我革命。我们党没有任何自己特殊的利益，这是我们党敢于自我革命的勇气之源、底气所在。在建党百年之际，我们要居安思危，时刻警惕我们这个百年大党会不会变得老态龙钟、疾病缠身。要以伟大自我革命引领伟大社会革命，以伟大社会革命促进伟大自我革命，确保党在新时代坚持和发展中国特色社会主义的历史进程中始终成为坚强领导核心。        
4,98421,2022-01-01,【央视快评】昂首阔步向未来,>    本台播发央视快评《昂首阔步向未来》。        
5,98430,2022-01-01,中国驻尼加拉瓜使馆举行复馆仪式,>    当地时间2021年12月31日，中国驻尼加拉瓜大使馆复馆仪式在尼加拉瓜首都马那瓜举行。中方代表表示，一个中国原则是国际社会普遍共识和公认的国际关系准则，是国际大义、大势所趋、人心所向。尼方代表表示，尼中两国复交得到尼中两国最广大人民的支持。尼方将恪守一个中国原则，与中方携手向着多极化、和平、社会公正与公平、实现人类发展与进步的国际新秩序迈进。        
6,98422,2022-01-01,人民日报社论：在新的伟大征程上奋勇前进——元旦献词,>    今天（1月1日）出版的人民日报发表社论，题目是《在新的伟大征程上奋勇前进——元旦献词》。        
7,98429,2022-01-01,国内联播快讯,>                元旦首日预计全国发送旅客总量3073万人次            记者从交通运输部获悉，今天（1月1日），全国交通运输部门预计发送旅客总量3073万人次，以城市周边短途运输为主。其中公路、水路预计发送旅客2100万人次，铁路发送旅客841万人次。            国家航天局公布最新火星探测图像            今天（1月1日），国家航天局发布“天问一号”探测器最新回传的4幅图像，分别为环绕器与火星合影、环绕器局部特写、火星北极冰盖图像以及“祝融号”火星车拍摄的火面地貌。截至昨天，环绕器及火星车共传回约560GB原始科学数据，状态良好、运行正常。            北京2022年冬奥会和冬残奥会颁奖元素发布            昨晚（12月31日），2022年北京冬奥会和冬残奥会颁奖元素发布，包括颁奖台、颁奖托盘、颁奖托盘放置台、获奖运动员定制版吉祥物纪念品、颁奖花束和颁奖礼仪服装。按照“简约、安全、精彩”的办赛要求，颁奖元素总体设计体现了外观简洁大方、功能实用贴心、材料环保可持续、多方参与共享四大特点。            北京冬奥会“相约北京”系列测试活动收官            昨天（12月31日），2021至2022冬季两项国际训练周在张家口赛区国家冬季两项中心收官，标志着北京冬奥会“相约北京”系列测试活动圆满结束。测试活动参照赛时标准，全面检验场馆运行、媒体运行、指挥系统等工作，为举办北京冬奥会打下坚实基础。            首钢滑雪大跳台正式启动赛前闭环管理            今天（1月1日），为配合雪地二次塑形工作，首钢滑雪大跳台提前启动赛前闭环管理，这也意味着场馆团队各项工作正式进入赛时状态。启动闭环管理后，大跳台场馆运行团队将配合首批外籍专家在造雪、体育展示、计时计分等方面深入开展工作。            广东江门与中国—东盟商务理事会签署《战略合作备忘录》            1月1日，RCEP生效实施当日，广东省江门市，当地政府举办RCEP启航合作发展系列活动，与中国—东盟商务理事会签署《战略合作备忘录》，举行RCEP经贸科技文化合作交流中心揭牌仪式。            2021年中国电影总票房达472.58亿元            国家电影局今天（1月1日）发布，2021年中国电影总票房达472.58亿元，其中国产电影票房为399.27亿元，占比84.49%，票房前10名影片中有8部国产影片。全年新增银幕6667块，银幕总数达到82248块，全年总票房和银幕总数继续保持全球第一。             
8,98428,2022-01-01,国家卫生健康委通报最新疫情,>    国家卫生健康委今天（1月1日）通报，2021年12月31日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增新冠肺炎确诊病例231例。其中境外输入病例56例，含10例由无症状感染者转为确诊病例；本土病例175例，含1例由无症状感染者转为确诊病例。截至2021年12月31日24时，现有确诊病例2886例。截至2021年12月31日，各地累计报告接种新冠病毒疫苗283533.2万剂次。        
9,98433,2022-01-01,国际联播快讯,>                美国科罗拉多州山火烧毁大量房屋            美国科罗拉多州博尔德县部分地区日前燃起山火，火势在强风助推下快速蔓延，已导致至少7人受伤。在火灾影响区域，总计2000多栋房屋中已有500多栋被烧毁。当地两座小城3万多居民被迫撤离。许多居民在流离失所中迎来新年。目前当地强风天气缓解，部分地区出现降雪，有利于灭火工作推进。            欧洲央行纪念欧元发行20周年            2022年1月1日是欧元发行20周年纪念日。位于德国法兰克福的欧洲央行总部大楼举办灯光秀。欧洲央行行长拉加德发表文章称，20年来，欧元为欧洲经济发展提供了强大动力，欧元区从最初的12国扩大到19国，使用欧元的人口增加到3.4亿，欧元区的经济总量增长了约200%。欧元成为欧洲一体化的重要标志和成果。                
